Download Page,"H.15 Selected Interest Rates for May 10, 2006"
Series Description,3-month Treasury bill secondary market rate   discount basis
Unit:,Percent:_Per_Year
Multiplier:,1
Currency:,NA
Unique Identifier:,H15/H15/RIFSGFSM03_N.M
Time Period,RIFSGFSM03_N.M
1950-12,1.34
1951-01,1.34
1951-02,1.36
1951-03,1.4
1951-04,1.47
1951-05,1.55
1951-06,1.45
1951-07,1.56
1951-08,1.62
1951-09,1.63
1951-10,1.54
1951-11,1.56
1951-12,1.73
1952-01,1.57
1952-02,1.54
1952-03,1.59
1952-04,1.57
1952-05,1.67
1952-06,1.7
1952-07,1.81
1952-08,1.83
1952-09,1.71
1952-10,1.74
1952-11,1.85
1952-12,2.09
1953-01,1.96
1953-02,1.97
1953-03,2.01
1953-04,2.19
1953-05,2.16
1953-06,2.11
1953-07,2.04
1953-08,2.04
1953-09,1.79
1953-10,1.38
1953-11,1.44
1953-12,1.6
1954-01,1.18
1954-02,0.97
1954-03,1.03
1954-04,0.97
1954-05,0.76
1954-06,0.64
1954-07,0.72
1954-08,0.92
1954-09,1.01
1954-10,0.98
1954-11,0.93
1954-12,1.15
1955-01,1.22
1955-02,1.17
1955-03,1.28
1955-04,1.59
1955-05,1.45
1955-06,1.41
1955-07,1.6
1955-08,1.9
1955-09,2.07
1955-10,2.23
1955-11,2.24
1955-12,2.54
1956-01,2.41
1956-02,2.32
1956-03,2.25
1956-04,2.6
1956-05,2.61
1956-06,2.49
1956-07,2.31
1956-08,2.6
1956-09,2.84
1956-10,2.9
1956-11,2.99
1956-12,3.21
1957-01,3.11
1957-02,3.1
1957-03,3.08
1957-04,3.07
1957-05,3.06
1957-06,3.29
1957-07,3.16
1957-08,3.37
1957-09,3.53
1957-10,3.58
1957-11,3.31
1957-12,3.04
1958-01,2.44
1958-02,1.53
1958-03,1.3
1958-04,1.13
1958-05,0.91
1958-06,0.83
1958-07,0.91
1958-08,1.69
1958-09,2.44
1958-10,2.63
1958-11,2.67
1958-12,2.77
1959-01,2.82
1959-02,2.7
1959-03,2.8
1959-04,2.95
1959-05,2.84
1959-06,3.21
1959-07,3.2
1959-08,3.38
1959-09,4.04
1959-10,4.05
1959-11,4.15
1959-12,4.49
1960-01,4.35
1960-02,3.96
1960-03,3.31
1960-04,3.23
1960-05,3.29
1960-06,2.46
1960-07,2.3
1960-08,2.3
1960-09,2.48
1960-10,2.3
1960-11,2.37
1960-12,2.25
1961-01,2.24
1961-02,2.42
1961-03,2.39
1961-04,2.29
1961-05,2.29
1961-06,2.33
1961-07,2.24
1961-08,2.39
1961-09,2.28
1961-10,2.3
1961-11,2.48
1961-12,2.6
1962-01,2.72
1962-02,2.73
1962-03,2.72
1962-04,2.73
1962-05,2.69
1962-06,2.73
1962-07,2.92
1962-08,2.82
1962-09,2.78
1962-10,2.74
1962-11,2.83
1962-12,2.87
1963-01,2.91
1963-02,2.92
1963-03,2.89
1963-04,2.9
1963-05,2.93
1963-06,2.99
1963-07,3.18
1963-08,3.32
1963-09,3.38
1963-10,3.45
1963-11,3.52
1963-12,3.52
1964-01,3.52
1964-02,3.53
1964-03,3.54
1964-04,3.47
1964-05,3.48
1964-06,3.48
1964-07,3.46
1964-08,3.5
1964-09,3.53
1964-10,3.57
1964-11,3.64
1964-12,3.84
1965-01,3.81
1965-02,3.93
1965-03,3.93
1965-04,3.93
1965-05,3.89
1965-06,3.8
1965-07,3.84
1965-08,3.84
1965-09,3.92
1965-10,4.03
1965-11,4.09
1965-12,4.38
1966-01,4.59
1966-02,4.65
1966-03,4.59
1966-04,4.62
1966-05,4.64
1966-06,4.5
1966-07,4.8
1966-08,4.96
1966-09,5.37
1966-10,5.35
1966-11,5.32
1966-12,4.96
1967-01,4.72
1967-02,4.56
1967-03,4.26
1967-04,3.84
1967-05,3.6
1967-06,3.54
1967-07,4.21
1967-08,4.27
1967-09,4.42
1967-10,4.56
1967-11,4.73
1967-12,4.97
1968-01,5
1968-02,4.98
1968-03,5.17
1968-04,5.38
1968-05,5.66
1968-06,5.52
1968-07,5.31
1968-08,5.09
1968-09,5.19
1968-10,5.35
1968-11,5.45
1968-12,5.96
1969-01,6.14
1969-02,6.12
1969-03,6.02
1969-04,6.11
1969-05,6.04
1969-06,6.44
1969-07,7
1969-08,6.98
1969-09,7.09
1969-10,7
1969-11,7.24
1969-12,7.82
1970-01,7.87
1970-02,7.13
1970-03,6.63
1970-04,6.51
1970-05,6.84
1970-06,6.68
1970-07,6.45
1970-08,6.41
1970-09,6.12
1970-10,5.91
1970-11,5.28
1970-12,4.87
1971-01,4.44
1971-02,3.7
1971-03,3.38
1971-04,3.86
1971-05,4.14
1971-06,4.75
1971-07,5.4
1971-08,4.94
1971-09,4.69
1971-10,4.46
1971-11,4.22
1971-12,4.01
1972-01,3.38
1972-02,3.2
1972-03,3.73
1972-04,3.71
1972-05,3.69
1972-06,3.91
1972-07,3.98
1972-08,4.02
1972-09,4.66
1972-10,4.74
1972-11,4.78
1972-12,5.07
1973-01,5.41
1973-02,5.6
1973-03,6.09
1973-04,6.26
1973-05,6.36
1973-06,7.19
1973-07,8.01
1973-08,8.67
1973-09,8.29
1973-10,7.22
1973-11,7.83
1973-12,7.45
1974-01,7.77
1974-02,7.12
1974-03,7.96
1974-04,8.33
1974-05,8.23
1974-06,7.9
1974-07,7.55
1974-08,8.96
1974-09,8.06
1974-10,7.46
1974-11,7.47
1974-12,7.15
1975-01,6.26
1975-02,5.5
1975-03,5.49
1975-04,5.61
1975-05,5.23
1975-06,5.34
1975-07,6.13
1975-08,6.44
1975-09,6.42
1975-10,5.96
1975-11,5.48
1975-12,5.44
1976-01,4.87
1976-02,4.88
1976-03,5
1976-04,4.86
1976-05,5.2
1976-06,5.41
1976-07,5.23
1976-08,5.14
1976-09,5.08
1976-10,4.92
1976-11,4.75
1976-12,4.35
1977-01,4.62
1977-02,4.67
1977-03,4.6
1977-04,4.54
1977-05,4.96
1977-06,5.02
1977-07,5.19
1977-08,5.49
1977-09,5.81
1977-10,6.16
1977-11,6.1
1977-12,6.07
1978-01,6.44
1978-02,6.45
1978-03,6.29
1978-04,6.29
1978-05,6.41
1978-06,6.73
1978-07,7.01
1978-08,7.08
1978-09,7.85
1978-10,7.99
1978-11,8.64
1978-12,9.08
1979-01,9.35
1979-02,9.32
1979-03,9.48
1979-04,9.46
1979-05,9.61
1979-06,9.06
1979-07,9.24
1979-08,9.52
1979-09,10.26
1979-10,11.7
1979-11,11.79
1979-12,12.04
1980-01,12
1980-02,12.86
1980-03,15.2
1980-04,13.2
1980-05,8.58
1980-06,7.07
1980-07,8.06
1980-08,9.13
1980-09,10.27
1980-10,11.62
1980-11,13.73
1980-12,15.49
1981-01,15.02
1981-02,14.79
1981-03,13.36
1981-04,13.69
1981-05,16.3
1981-06,14.73
1981-07,14.95
1981-08,15.51
1981-09,14.7
1981-10,13.54
1981-11,10.86
1981-12,10.85
1982-01,12.28
1982-02,13.48
1982-03,12.68
1982-04,12.7
1982-05,12.09
1982-06,12.47
1982-07,11.35
1982-08,8.68
1982-09,7.92
1982-10,7.71
1982-11,8.07
1982-12,7.94
1983-01,7.86
1983-02,8.11
1983-03,8.35
1983-04,8.21
